record_id,source_table,institution,department,year,project_title,nlp_text,clean_text,detected_language,topic_id
1,grants,Indian Institute of Science Bangalore,ME,2019,"Deformation processing of lightweight structural metals: Correlating surface flow fields, energy dissipation and product quality through in situ analyses","Deformation processing of lightweight structural metals: Correlating surface flow fields, energy dissipation and product quality through in situ analyses",deformation processing lightweight structural metal correlating surface flow field energy dissipation product quality situ analysis,en,0
2,grants,Indian Institute of Science Bangalore,EE,2019,Digitization of ancient manuscripts in Thigalari and Grantha scripts using multimodal recognition of speech and online handwritten transcript of an expert in the loop,Digitization of ancient manuscripts in Thigalari and Grantha scripts using multimodal recognition of speech and online handwritten transcript of an expert in the loop,digitization ancient manuscript thigalari grantha script multimodal recognition speech online handwritten transcript expert loop,en,0
3,grants,Indian Institute of Science Bangalore,CSA,2019,Machine Learning based AI Technology for Defect Detection in Aircraft Engines,Machine Learning based AI Technology for Defect Detection in Aircraft Engines,machine learning base ai technology defect detection aircraft engines,en,0
4,grants,Indian Institute of Science Bangalore,EE,2019,English Gyani - An intelligent assistant for tutoring English via learner-tutor interactions,English Gyani - An intelligent assistant for tutoring English via learner-tutor interactions,english gyani intelligent assistant tutor english learner tutor interaction,en,0
5,grants,Indian Institute of Science Bangalore,ECE,2019,NFC-based multi-sensor platform to monitor transportation and storage integrity of lifesaving pharmaceutical products,NFC-based multi-sensor platform to monitor transportation and storage integrity of lifesaving pharmaceutical products,nfc base multi sensor platform monitor transportation storage integrity lifesave pharmaceutical product,en,-1
6,grants,International Institute of Information Technology Bangalore,CSE,2019,Identification of Diseases in Millet Crop using Deep Learning for Next Generation Climate-Smart Agriculture,Identification of Diseases in Millet Crop using Deep Learning for Next Generation Climate-Smart Agriculture,identification diseases millet crop deep learning generation climate smart agriculture,en,0
7,grants,Indian Institute of Science Bangalore,ME,2020,Atomic Scale Electron Microscopy Investigation of Supported Catalysts,Atomic Scale Electron Microscopy Investigation of Supported Catalysts,atomic scale electron microscopy investigation supported catalyst,en,0
8,grants,Indian Institute of Science Bangalore,ECE,2020,Making simultaneous rheological and thermal maps of the cellular interior,Making simultaneous rheological and thermal maps of the cellular interior,make simultaneous rheological thermal map cellular interior,en,-1
9,grants,Indian Institute of Science Bangalore,ME,2020,Effect of Passage of Electric Pulse on Flaws in Metallic Foils: Failure by Flaw Propagation to Healing by Flaw Closure,Effect of Passage of Electric Pulse on Flaws in Metallic Foils: Failure by Flaw Propagation to Healing by Flaw Closure,effect passage electric pulse flaws metallic foil failure flaw propagation healing flaw closure,en,0
10,grants,Indian Institute of Science Bangalore,ME,2020,Scanning probe microscopes with rotatable tips: Development and Applications,Scanning probe microscopes with rotatable tips: Development and Applications,scan probe microscope rotatable tip development applications,en,-1
11,grants,Indian Institute of Science Bangalore,CE,2020,Physical and mathematical modeling of gas-fine-liquid flow in a non-wetting packed bed,Physical and mathematical modeling of gas-fine-liquid flow in a non-wetting packed bed,physical mathematical modeling gas fine liquid flow non wetting pack bed,en,0
12,grants,Indian Institute of Science Bangalore,ECE,2020,Large-area and stable perovskite solar cells,Large-area and stable perovskite solar cells,large area stable perovskite solar cell,en,0
13,grants,Indian Institute of Science Bangalore,CSA,2020,Network Principles in 3D Reconstruction,Network Principles in 3D Reconstruction,network principles 3d reconstruction,en,0
14,grants,Indian Institute of Science Bangalore,CE,2020,Bio-inspired Membranes with 2D Layered Nanostructures for Desalination and Water Remediation,Bio-inspired Membranes with 2D Layered Nanostructures for Desalination and Water Remediation,bio inspire membranes 2d layered nanostructures desalination water remediation,en,0
15,grants,Indian Institute of Science Bangalore,CE,2020,Study of solvent induced polymorphism during crystal nucleation of molecular solids using molecular simulations,Study of solvent induced polymorphism during crystal nucleation of molecular solids using molecular simulations,study solvent induce polymorphism crystal nucleation molecular solid molecular simulation,en,0
16,grants,International Institute of Information Technology Bangalore,ECE,2020,Design and Analysis of Polar Codes and Learning-based Codes,Design and Analysis of Polar Codes and Learning-based Codes,design analysis polar codes learning base codes,en,0
17,grants,Indian Institute of Science Bangalore,ME,2020,Multi-scale Design of Advanced Composites and Development of New Manufacturing Technologies,Multi-scale Design of Advanced Composites and Development of New Manufacturing Technologies,multi scale design advanced composites development new manufacturing technologies,en,0
18,grants,Indian Institute of Science Bangalore,EE,2020,Resource Aware Networked and Distributed Control,Resource Aware Networked and Distributed Control,resource aware networked distribute control,en,0
19,grants,International Institute of Information Technology Bangalore,ECE,2020,Using Coding Theory for Fast and Robust Distributed Communication and Computing Systems,Using Coding Theory for Fast and Robust Distributed Communication and Computing Systems,coding theory fast robust distribute communication computing systems,en,0
20,grants,Indian Institute of Science Bangalore,EE,2020,Dynamic biomedical image reconstruction from highly noisy and under-sampled data using motion-adaptive spatio-temporal regularization,Dynamic biomedical image reconstruction from highly noisy and under-sampled data using motion-adaptive spatio-temporal regularization,dynamic biomedical image reconstruction highly noisy sample datum motion adaptive spatio temporal regularization,en,0
21,grants,Indian Institute of Science Bangalore,ECE,2020,Designing cost-efficient codes for Non-Orthogonal Multiple Access (NOMA) for 5G Using Generalized Boolean/Bent Functions,Designing cost-efficient codes for Non-Orthogonal Multiple Access (NOMA) for 5G Using Generalized Boolean/Bent Functions,design cost efficient code non orthogonal multiple access noma generalized boolean bent functions,en,0
22,grants,Indian Institute of Science Bangalore,CE,2020,Design and fabrication of plate type SCR catalyst for De-NOx application using Hybrid ceramic composite,Design and fabrication of plate type SCR catalyst for De-NOx application using Hybrid ceramic composite,design fabrication plate type scr catalyst de nox application hybrid ceramic composite,en,0
23,grants,International Institute of Information Technology Bangalore,ECE,2021,"Modeling, Optimization, and Channel Estimation of Intelligent Reflecting Surface (IRS)-Assisted Underlay Spectrum Sharing for 6G","Modeling, Optimization, and Channel Estimation of Intelligent Reflecting Surface (IRS)-Assisted Underlay Spectrum Sharing for 6G",modeling optimization channel estimation intelligent reflect surface irs)-assiste underlay spectrum sharing,en,0
24,grants,Indian Institute of Science Bangalore,Math,2021,An analytic study of holomorphic vector bundles and Kahler manifolds,An analytic study of holomorphic vector bundles and Kahler manifolds,analytic study holomorphic vector bundle kahler manifold,en,0
25,grants,Indian Institute of Science Bangalore,ECE,2021,Graphene based Meta-FET Device: Novel Metamaterial Approach for Multi-molecular Sensing Platform with Integrated Opto-electronic Communication,Graphene based Meta-FET Device: Novel Metamaterial Approach for Multi-molecular Sensing Platform with Integrated Opto-electronic Communication,graphene base meta fet device novel metamaterial approach multi molecular sensing platform integrated opto electronic communication,en,0
26,grants,Indian Institute of Science Bangalore,Math,2021,Bianchi modular forms and Iwasawa theory,Bianchi modular forms and Iwasawa theory,bianchi modular form iwasawa theory,en,0
27,grants,Indian Institute of Science Bangalore,Math,2021,DATA ASSIMILATION TO REACTION-DIFFUSION COMPLEX NETWORKS,DATA ASSIMILATION TO REACTION-DIFFUSION COMPLEX NETWORKS,data assimilation reaction diffusion complex networks,en,-1
28,grants,B.M.S. College of Engineering,ECE,2021,Investigations on electronic and optoelectronic properties of transition metal doped chalcogenide materials suitable for phase change memory (PCM) applications.,Investigations on electronic and optoelectronic properties of transition metal doped chalcogenide materials suitable for phase change memory (PCM) applications.,investigation electronic optoelectronic property transition metal dope chalcogenide material suitable phase change memory pcm application,en,0
29,grants,Indian Institute of Science Bangalore,CES,2021,"Ecological and Behavioural Determinants of Predator Diet Selection: A case study using Bats, Katydids and Moths","Ecological and Behavioural Determinants of Predator Diet Selection: A case study using Bats, Katydids and Moths",ecological behavioural determinants predator diet selection case study bats katydids moths,en,1
30,grants,Indian Institute of Science Bangalore,CES,2021,"Linking vector ecology and pathogen transmission: Behavioural and life-history strategies of the vector, Aedes aegypti, and their consequences for pathogen transmission and mosquito control","Linking vector ecology and pathogen transmission: Behavioural and life-history strategies of the vector, Aedes aegypti, and their consequences for pathogen transmission and mosquito control",link vector ecology pathogen transmission behavioural life history strategy vector aedes aegypti consequence pathogen transmission mosquito control,en,1
31,grants,Indian Institute of Science Bangalore,Physics,2021,Correlated electron states and exciton condensation in double-layer van der Waals heterostructures,Correlated electron states and exciton condensation in double-layer van der Waals heterostructures,correlated electron state exciton condensation double layer van der waals heterostructure,en,0
32,grants,R V College of Engineering,ECE,2022,Design and Fabrication of Flexible Artificial Basilar Epithelium,Design and Fabrication of Flexible Artificial Basilar Epithelium,design fabrication flexible artificial basilar epithelium,en,0
33,grants,Indian Institute of Science Bangalore,CE,2022,Salt Hydrate-based Thermochemical Energy Storage System for Thermal Management of Batteries for Electric Vehicles,Salt Hydrate-based Thermochemical Energy Storage System for Thermal Management of Batteries for Electric Vehicles,salt hydrate base thermochemical energy storage system thermal management batteries electric vehicles,en,0
34,grants,Indian Institute of Science Bangalore,CES,2022,Towards a general framework for geomaterial use by animals: Comparing bioengineering principles in termite and potter wasp mud architecture,Towards a general framework for geomaterial use by animals: Comparing bioengineering principles in termite and potter wasp mud architecture,general framework geomaterial use animal compare bioengineere principle termite potter wasp mud architecture,en,0
35,grants,Indian Institute of Science Bangalore,CE,2022,A Lead Laden Legacy of Indian Waterbodies: Quantification and Alleviation,A Lead Laden Legacy of Indian Waterbodies: Quantification and Alleviation,lead laden legacy indian waterbodie quantification alleviation,en,1
36,grants,International Institute of Information Technology Bangalore,CSE,2022,Vector Processor Design to support lower bit width weight precisions in machine learning applications,Vector Processor Design to support lower bit width weight precisions in machine learning applications,vector processor design support low bit width weight precision machine learning application,en,0
37,grants,Indian Institute of Science Bangalore,CE,2022,"Centre for Electrochemical Energy Storage: Design, Development, Fabrication and Evaluation of Utility-Scale High-Performance Batteries","Centre for Electrochemical Energy Storage: Design, Development, Fabrication and Evaluation of Utility-Scale High-Performance Batteries",centre electrochemical energy storage design development fabrication evaluation utility scale high performance batteries,en,0
38,grants,Indian Institute of Science Bangalore,CSA,2022,"Hitting-sets, lower bounds and learning in algebraic complexity theory","Hitting-sets, lower bounds and learning in algebraic complexity theory",hit set low bound learn algebraic complexity theory,en,0
39,grants,M.S. Ramaiah Institute of Technology,Physics,2022,Liquid crystal as matrices for nanomaterial assembly-manipulation,Liquid crystal as matrices for nanomaterial assembly-manipulation,liquid crystal matrix nanomaterial assembly manipulation,en,0
40,grants,Indian Institute of Science Bangalore,MBU,2022,Understanding T lymphocyte infiltration into solid tumours,Understanding T lymphocyte infiltration into solid tumours,understand lymphocyte infiltration solid tumour,en,1
41,grants,Indian Institute of Science Bangalore,CE,2022,Hydrogenation of carbon dioxide (CO2) into methanol and DME - A potential alternative fuel for domestic and transport applications,Hydrogenation of carbon dioxide (CO2) into methanol and DME - A potential alternative fuel for domestic and transport applications,hydrogenation carbon dioxide co2 methanol dme potential alternative fuel domestic transport application,en,0
42,grants,Indian Institute of Science Bangalore,ME,2022,"""Gravity cast in-situ Al-15Mg2Si-4.5Si composite and a process thereof"" & âRheo Gravity die cast in-situ Al-15Mg2Si-4.5Si-0.01Sr-0.015B composite and an Automobile Brake disc cast thereofâ","""Gravity cast in-situ Al-15Mg2Si-4.5Si composite and a process thereof"" & âRheo Gravity die cast in-situ Al-15Mg2Si-4.5Si-0.01Sr-0.015B composite and an Automobile Brake disc cast thereofâ",gravity cast situ al-15mg2si-4.5si composite process thereof ârheo gravity die cast situ al-15mg2si-4.5si-0.01sr-0.015b composite automobile brake disc cast thereofâ,en,0
43,grants,Indian Institute of Science Bangalore,ME,2022,A METHOD FOR FABRICATING AN ANTIMICROBIAL LAYER ON A FABRIC AND A COATED FABRIC THEREOF,A METHOD FOR FABRICATING AN ANTIMICROBIAL LAYER ON A FABRIC AND A COATED FABRIC THEREOF,method fabricating antimicrobial layer fabric coated fabric thereof,en,0
44,grants,Indian Institute of Science Bangalore,Physics,2022,Arboreal Topological Phases,Arboreal Topological Phases,arboreal topological phases,en,0
45,grants,Indian Institute of Science Bangalore,ECE,2022,Pushing the limits of solid-state nanopore based single molecule protein sequencing,Pushing the limits of solid-state nanopore based single molecule protein sequencing,push limit solid state nanopore base single molecule protein sequence,en,0
46,grants,Indian Institute of Science Bangalore,ECE,2022,A Blind Modulation Classification (BMC) Method for Linearly Modulated Signal over Single Carrier Systems,A Blind Modulation Classification (BMC) Method for Linearly Modulated Signal over Single Carrier Systems,blind modulation classification bmc method linearly modulate signal single carrier systems,en,0
47,grants,Indian Institute of Science Bangalore,EE,2023,Acoustic Modeling and Analysis of Pulmonary System,Acoustic Modeling and Analysis of Pulmonary System,acoustic modeling analysis pulmonary system,en,0
48,grants,Indian Institute of Science Bangalore,ME,2023,Dispersion relations for nonlinear wave propagation in periodic media through perturbation analysis,Dispersion relations for nonlinear wave propagation in periodic media through perturbation analysis,dispersion relation nonlinear wave propagation periodic medium perturbation analysis,en,0
49,grants,Indian Institute of Science Bangalore,ME,2023,Solutions of the Boltzmann transport equation for phonons and electrons beyond the relaxation time approximation,Solutions of the Boltzmann transport equation for phonons and electrons beyond the relaxation time approximation,solution boltzmann transport equation phonon electron relaxation time approximation,en,0
50,grants,Indian Institute of Science Bangalore,EE,2023,Optimal Topology Design for Resilient Networked CPS,Optimal Topology Design for Resilient Networked CPS,optimal topology design resilient networked cps,en,0
51,grants,Indian Institute of Science Bangalore,Physics,2023,Investigating cosmological imprints of dynamical gauge fields during inflation,Investigating cosmological imprints of dynamical gauge fields during inflation,investigate cosmological imprint dynamical gauge field inflation,en,0
52,grants,Indian Institute of Science Bangalore,Physics,2023,Investigation of the lifetime frontier of particle physics,Investigation of the lifetime frontier of particle physics,investigation lifetime frontier particle physic,en,0
53,grants,Indian Institute of Science Bangalore,Math,2023,Mathematical Models of Intrinsic Noise and Heterogeneity in Ecosystem Dynamics,Mathematical Models of Intrinsic Noise and Heterogeneity in Ecosystem Dynamics,mathematical models intrinsic noise heterogeneity ecosystem dynamic,en,1
54,grants,Indian Institute of Science Bangalore,Physics,2023,Theoretical aspects of some Physics Beyond Standard Models.,Theoretical aspects of some Physics Beyond Standard Models.,theoretical aspect physics standard models,en,0
55,grants,Indian Institute of Science Bangalore,Math,2023,Some existence and rigidity problems in Kahler geometry,Some existence and rigidity problems in Kahler geometry,existence rigidity problem kahler geometry,en,0
56,grants,Indian Institute of Science Bangalore,Math,2023,Ergodic principles in Iwasawa theory,Ergodic principles in Iwasawa theory,ergodic principle iwasawa theory,en,0
57,grants,Indian Institute of Science Bangalore,CES,2024,Quantifying the effect of antibiotic pollution on soil microbial functions and the nitrogen cycle,Quantifying the effect of antibiotic pollution on soil microbial functions and the nitrogen cycle,quantify effect antibiotic pollution soil microbial function nitrogen cycle,en,0
58,grants,Indian Institute of Science Bangalore,CE,2024,Closed-loop recyclable and fast curing Epoxy mediated by covalent adaptable network,Closed-loop recyclable and fast curing Epoxy mediated by covalent adaptable network,closed loop recyclable fast cure epoxy mediate covalent adaptable network,en,0
59,grants,Indian Institute of Science Bangalore,Physics,2024,Non-linear Hall Effect: Mechanisms and Materials,Non-linear Hall Effect: Mechanisms and Materials,non linear hall effect mechanism material,en,0
60,grants,Indian Institute of Science Bangalore,Physics,2024,Collective swimming of Chlamydomonas reinhardtii under confinement,Collective swimming of Chlamydomonas reinhardtii under confinement,collective swimming chlamydomonas reinhardtii confinement,en,1
61,grants,Indian Institute of Science Bangalore,CE,2024,Proof of concept and system analysis of the isolation of high-grade curcumin from turmeric using low-cost membrane separations,Proof of concept and system analysis of the isolation of high-grade curcumin from turmeric using low-cost membrane separations,proof concept system analysis isolation high grade curcumin turmeric low cost membrane separation,en,0
62,grants,Indian Institute of Science Bangalore,Physics,2024,Coupled dynamics in 2D nanoresonators,Coupled dynamics in 2D nanoresonators,couple dynamic 2d nanoresonator,en,0
63,grants,Dayananda Sagar College of Engineering,ECE,2024,"Investigation of soliton dynamics through multi-core photonic crystal fiber couplers and array waveguides for efficient all-optical logic adders, subtractors and soliton based quantum computing","Investigation of soliton dynamics through multi-core photonic crystal fiber couplers and array waveguides for efficient all-optical logic adders, subtractors and soliton based quantum computing",investigation soliton dynamic multi core photonic crystal fiber coupler array waveguide efficient optical logic adder subtractor soliton base quantum computing,en,0
64,grants,Indian Institute of Science Bangalore,ME,2024,Development of Advanced Composites with Integrated Battery and Photovoltaic Cells,Development of Advanced Composites with Integrated Battery and Photovoltaic Cells,development advanced composites integrated battery photovoltaic cells,en,0
65,grants,Indian Institute of Science Bangalore,ME,2024,Green ironmaking: Multiscale model to study hydrogen injection in a shaft furnace (DRI) and hydrogen injection with coal in the blast furnace with validation,Green ironmaking: Multiscale model to study hydrogen injection in a shaft furnace (DRI) and hydrogen injection with coal in the blast furnace with validation,green ironmaking multiscale model study hydrogen injection shaft furnace dri hydrogen injection coal blast furnace validation,en,0
66,grants,Indian Institute of Science Bangalore,Math,2024,Study on affine Demazure modules,Study on affine Demazure modules,study affine demazure module,en,0
67,grants,Indian Institute of Science Bangalore,ME,2024,Design and Development of Light Weight Impact Resistant Sandwich Composite Fabricated using CFRP Face sheet and Cenosphere Reinforced PEEK Auxetic Core: An Integrated Experimental-Computational Approach,Design and Development of Light Weight Impact Resistant Sandwich Composite Fabricated using CFRP Face sheet and Cenosphere Reinforced PEEK Auxetic Core: An Integrated Experimental-Computational Approach,design development light weight impact resistant sandwich composite fabricated cfrp face sheet cenosphere reinforced peek auxetic core integrated experimental computational approach,en,0
68,grants,Indian Institute of Science Bangalore,ECE,2024,Nanoelectrode arrays for high resolution recording of neural activity,Nanoelectrode arrays for high resolution recording of neural activity,nanoelectrode array high resolution recording neural activity,en,0
69,grants,Indian Institute of Science Bangalore,ME,2024,Development of new design architecture to realize high Figure of Merit piezoelectric MEMS resonators.,Development of new design architecture to realize high Figure of Merit piezoelectric MEMS resonators.,development new design architecture realize high figure merit piezoelectric mems resonator,en,0
70,grants,Indian Institute of Science Bangalore,ME,2024,Simulations of combustion dynamics in hydrogen-fired reheat burner towards decarbonization,Simulations of combustion dynamics in hydrogen-fired reheat burner towards decarbonization,simulation combustion dynamic hydrogen fire reheat burner decarbonization,en,0
71,grants,Indian Institute of Science Bangalore,ECE,2024,Design and analysis of data center network transport protocols for low latency,Design and analysis of data center network transport protocols for low latency,design analysis datum center network transport protocol low latency,en,0
72,grants,Indian Institute of Science Bangalore,ME,2024,Mechanics of Deformation of Non-Woven Nanofiber Networks & Their Composites,Mechanics of Deformation of Non-Woven Nanofiber Networks & Their Composites,mechanics deformation non woven nanofiber networks composites,en,0
73,grants,Indian Institute of Science Bangalore,CSA,2024,"Bandits, Drones and Data Structures Through the Lens of Computational Geometry","Bandits, Drones and Data Structures Through the Lens of Computational Geometry",bandit drones data structures lens computational geometry,en,0
74,grants,Indian Institute of Science Bangalore,IPC,2024,Design and Development of Strongly Luminescent Boron Based Chiroptical Materials for Bio-imaging Applications,Design and Development of Strongly Luminescent Boron Based Chiroptical Materials for Bio-imaging Applications,design development strongly luminescent boron base chiroptical materials bio imaging application,en,0
75,grants,Indian Institute of Science Bangalore,ECE,2024,"Fully-printed, flexible negative capacitance field-effect transistors (nc-FETs) and logics","Fully-printed, flexible negative capacitance field-effect transistors (nc-FETs) and logics",fully print flexible negative capacitance field effect transistor nc fets logic,en,0
76,grants,Indian Institute of Science Bangalore,Physics,2024,Realization and Study of Modulation-Doping-Induced Interfacial Phase Transitions in Transition Metal Compounds,Realization and Study of Modulation-Doping-Induced Interfacial Phase Transitions in Transition Metal Compounds,realization study modulation doping induced interfacial phase transitions transition metal compounds,en,0
77,grants,Indian Institute of Science Bangalore,ECE,2024,INERTIA: In-memory Computing-based Energy-efficient Unified ML Accelerator,INERTIA: In-memory Computing-based Energy-efficient Unified ML Accelerator,inertia memory computing base energy efficient unified ml accelerator,en,0
78,grants,Indian Institute of Science Bangalore,Physics,2024,"Theoretical, numerical, and experimental investigation of the collective behaviour of active magnetic swarms","Theoretical, numerical, and experimental investigation of the collective behaviour of active magnetic swarms",theoretical numerical experimental investigation collective behaviour active magnetic swarm,en,0
79,grants,Indian Institute of Science Bangalore,ECE,2025,Fin-channel gallium nitride microwave transistors,Fin-channel gallium nitride microwave transistors,fin channel gallium nitride microwave transistor,en,0
80,grants,Indian Institute of Science Bangalore,ME,2025,"An Eight Institution Partnership for Advancing Materials Research and Development: From Fundamental Design to Emerging Applications in Structural, Functional and Biomaterials Spaces","An Eight Institution Partnership for Advancing Materials Research and Development: From Fundamental Design to Emerging Applications in Structural, Functional and Biomaterials Spaces",institution partnership advancing materials research development fundamental design emerging applications structural functional biomaterials spaces,en,0
81,grants,Indian Institute of Science Bangalore,IPC,2025,Exciton Delocalization versus Ultrafast Internal Conversion â Probing Structure-Function Relations in Artificial Light-harvesting Chlorosomes Through Two-dimensional Electronic Spectroscopy,Exciton Delocalization versus Ultrafast Internal Conversion â Probing Structure-Function Relations in Artificial Light-harvesting Chlorosomes Through Two-dimensional Electronic Spectroscopy,exciton delocalization versus ultrafast internal conversion â probing structure function relations artificial light harvesting chlorosomes dimensional electronic spectroscopy,en,0
82,grants,Indian Institute of Science Bangalore,Physics,2026,"Fractional Orbitals and Tight-Binding Gauge Fields: Theory, Simulation, and Detection","Fractional Orbitals and Tight-Binding Gauge Fields: Theory, Simulation, and Detection",fractional orbitals tight bind gauge fields theory simulation detection,en,0
83,grants,Indian Institute of Science Bangalore,ME,2026,Understanding the atomistic mechanism of degradation of compositionally complex multi-component alloys in severe corrosive environments.,Understanding the atomistic mechanism of degradation of compositionally complex multi-component alloys in severe corrosive environments.,understand atomistic mechanism degradation compositionally complex multi component alloy severe corrosive environment,en,0
84,grants,Indian Institute of Science Bangalore,CE,2026,Reconstream: Systematic Reconstruction of Long-Term Streamflow Records in Indian Rivers using Geomorphology-Guided Machine Learning,Reconstream: Systematic Reconstruction of Long-Term Streamflow Records in Indian Rivers using Geomorphology-Guided Machine Learning,reconstream systematic reconstruction long term streamflow records indian rivers geomorphology guided machine learning,en,0
85,grants,Indian Institute of Science Bangalore,Physics,2026,Theoretical investigations of the non-Hermitian dynamics of systems with mechanochemical feedback,Theoretical investigations of the non-Hermitian dynamics of systems with mechanochemical feedback,theoretical investigation non hermitian dynamic system mechanochemical feedback,en,0
86,grants,Indian Institute of Science Bangalore,CE,2026,First-principles and experimental data-driven accurate multiscale modeling to design catalysts and processes for COâ electroreduction,First-principles and experimental data-driven accurate multiscale modeling to design catalysts and processes for COâ electroreduction,principle experimental data drive accurate multiscale modeling design catalyst process coâ electroreduction,en,0
87,grants,Indian Institute of Science Bangalore,ME,2026,Magnetic and conducting particles in time-dependent magnetic fields.,Magnetic and conducting particles in time-dependent magnetic fields.,magnetic conduct particle time dependent magnetic field,en,0
88,grants,Indian Institute of Science Bangalore,ME,2026,Creep-Fatigue Behavior of 9Cr ferritic-martensitic ODS Steel: Integrated Experimental and Modeling Approach for Advanced Energy Applications,Creep-Fatigue Behavior of 9Cr ferritic-martensitic ODS Steel: Integrated Experimental and Modeling Approach for Advanced Energy Applications,creep fatigue behavior 9cr ferritic martensitic ods steel integrated experimental modeling approach advanced energy applications,en,0
89,grants,Indian Institute of Science Bangalore,ME,2026,The science and design of robotic sandworms: Propulsion of deformable objects through particulate media,The science and design of robotic sandworms: Propulsion of deformable objects through particulate media,science design robotic sandworm propulsion deformable object particulate medium,en,0
