Grant_ID,Title,Amount,Year,Source_URL
GRANT_00001,"Deformation processing of lightweight structural metals: Correlating surface flow fields, energy dissipation and product quality through in situ analyses",5585615,2019,
GRANT_00002,Digitization of ancient manuscripts in Thigalari and Grantha scripts using multimodal recognition of speech and online handwritten transcript of an expert in the loop,,2019,
GRANT_00003,Machine Learning based AI Technology for Defect Detection in Aircraft Engines,,2019,
GRANT_00004,English Gyani - An intelligent assistant for tutoring English via learner-tutor interactions,,2019,
GRANT_00005,NFC-based multi-sensor platform to monitor transportation and storage integrity of lifesaving pharmaceutical products,,2019,
GRANT_00006,Identification of Diseases in Millet Crop using Deep Learning for Next Generation Climate-Smart Agriculture,2562900,2019,
GRANT_00007,Atomic Scale Electron Microscopy Investigation of Supported Catalysts,4763250,2020,
GRANT_00008,Making simultaneous rheological and thermal maps of the cellular interior,7689070,2020,
GRANT_00009,Effect of Passage of Electric Pulse on Flaws in Metallic Foils: Failure by Flaw Propagation to Healing by Flaw Closure,5749973,2020,
GRANT_00010,Scanning probe microscopes with rotatable tips: Development and Applications,5004644,2020,
GRANT_00011,Physical and mathematical modeling of gas-fine-liquid flow in a non-wetting packed bed,6539480,2020,
GRANT_00012,Large-area and stable perovskite solar cells,7711145,2020,
GRANT_00013,Network Principles in 3D Reconstruction,1582098,2020,
GRANT_00014,Bio-inspired Membranes with 2D Layered Nanostructures for Desalination and Water Remediation,4136098,2020,
GRANT_00015,Study of solvent induced polymorphism during crystal nucleation of molecular solids using molecular simulations,6225363,2020,
GRANT_00016,Design and Analysis of Polar Codes and Learning-based Codes,2275843,2020,
GRANT_00017,Multi-scale Design of Advanced Composites and Development of New Manufacturing Technologies,4112353,2020,
GRANT_00018,Resource Aware Networked and Distributed Control,1924436,2020,
GRANT_00019,Using Coding Theory for Fast and Robust Distributed Communication and Computing Systems,2373024,2020,
GRANT_00020,Dynamic biomedical image reconstruction from highly noisy and under-sampled data using motion-adaptive spatio-temporal regularization,2299844,2020,
GRANT_00021,Designing cost-efficient codes for Non-Orthogonal Multiple Access (NOMA) for 5G Using Generalized Boolean/Bent Functions,0,2020,
GRANT_00022,Design and fabrication of plate type SCR catalyst for De-NOx application using Hybrid ceramic composite,3224590,2020,
GRANT_00023,"Modeling, Optimization, and Channel Estimation of Intelligent Reflecting Surface (IRS)-Assisted Underlay Spectrum Sharing for 6G",1404663,2021,
GRANT_00024,An analytic study of holomorphic vector bundles and Kahler manifolds,0,2021,
GRANT_00025,Graphene based Meta-FET Device: Novel Metamaterial Approach for Multi-molecular Sensing Platform with Integrated Opto-electronic Communication,20720560,2021,
GRANT_00026,Bianchi modular forms and Iwasawa theory,0,2021,
GRANT_00027,DATA ASSIMILATION TO REACTION-DIFFUSION COMPLEX NETWORKS,0,2021,
GRANT_00028,Investigations on electronic and optoelectronic properties of transition metal doped chalcogenide materials suitable for phase change memory (PCM) applications.,2692800,2021,
GRANT_00029,"Ecological and Behavioural Determinants of Predator Diet Selection: A case study using Bats, Katydids and Moths",2995015,2021,
GRANT_00030,"Linking vector ecology and pathogen transmission: Behavioural and life-history strategies of the vector, Aedes aegypti, and their consequences for pathogen transmission and mosquito control",6204520,2021,
GRANT_00031,Correlated electron states and exciton condensation in double-layer van der Waals heterostructures,4563488,2021,
GRANT_00032,Design and Fabrication of Flexible Artificial Basilar Epithelium,2997500,2022,
GRANT_00033,Salt Hydrate-based Thermochemical Energy Storage System for Thermal Management of Batteries for Electric Vehicles,9367330,2022,
GRANT_00034,Towards a general framework for geomaterial use by animals: Comparing bioengineering principles in termite and potter wasp mud architecture,5860888,2022,
GRANT_00035,A Lead Laden Legacy of Indian Waterbodies: Quantification and Alleviation,64486160,2022,
GRANT_00036,Vector Processor Design to support lower bit width weight precisions in machine learning applications,4238690,2022,
GRANT_00037,"Centre for Electrochemical Energy Storage: Design, Development, Fabrication and Evaluation of Utility-Scale High-Performance Batteries",83630000,2022,
GRANT_00038,"Hitting-sets, lower bounds and learning in algebraic complexity theory",0,2022,
GRANT_00039,Liquid crystal as matrices for nanomaterial assembly-manipulation,2952400,2022,
GRANT_00040,Understanding T lymphocyte infiltration into solid tumours,5909618,2022,
GRANT_00041,Hydrogenation of carbon dioxide (CO2) into methanol and DME - A potential alternative fuel for domestic and transport applications,4477000,2022,
GRANT_00042,"""Gravity cast in-situ Al-15Mg2Si-4.5Si composite and a process thereof"" & âRheo Gravity die cast in-situ Al-15Mg2Si-4.5Si-0.01Sr-0.015B composite and an Automobile Brake disc cast thereofâ",3000000,2022,
GRANT_00043,A METHOD FOR FABRICATING AN ANTIMICROBIAL LAYER ON A FABRIC AND A COATED FABRIC THEREOF,3000000,2022,
GRANT_00044,Arboreal Topological Phases,0,2022,
