Topic,Count,Name,Representation,Representative_Docs
-1,348,-1_base_datum_design_model,"['base', 'datum', 'design', 'model', 'system', 'work', 'application', 'network', 'method', 'study']","['data encryption information security privacy preserving data mining techniques data form information available multiple format like numeric textual imagery audio visual knowledge derive dataset intelligent approach fall broad category data mining dm output derive form knowledge pattern dm process help ascertain meaningful insight raw datum derive information rich pattern datum associate inherent risk invade sensitive nicety instance subtle data implication includegenetic particular biometric statistic ethnical detail religious inclination gender specific healthcare record suppose sensitive information expose unauthorized party hawker lead datum theft misuse henceforth essential perform dm task forgo confidential minutia s. conversely challenging task traditional dm algorithm identify knowledge pattern non sensitive datum instance technique consider entire dataset input knowledge modeling bifurcation sensitive non sensitive instance henceforward inherent need upgrade dm technique include privacy specification prior knowledge extraction direction privacy preserving data mining ppdm approach play substantial role conserve delicate information prior knowledge extraction process essential ppdm algorithm safeguard sensitive datum obstruct utility datum dm output direction imperative design effective ppdm algorithm handle privacy apprehension datum current research work focus design novel ppdm algorithms base principle traditional concealment conservation technique aid safeguard sensitive information follow knowledge mining process direction present research carry diverse dataset phase discern extent privacy risk measur', 'data encryption information security privacy preserve data mining technique data form information available multiple format like numeric textual imagery audio visual knowledge derive dataset intelligent approach fall broad category data mining dm output derive form knowledge pattern dm process help ascertain meaningful insight raw datum derive information rich pattern datum associate inherent risk invade sensitive nicety instance subtle data implication include genetic particular biometric statistic ethnical detail religious inclination gender specific healthcare record suppose sensitive information expose unauthorized party hawker lead datum theft misuse henceforth essential perform dm task forgo confidential minutia s. conversely challenging task traditional dm algorithm identify knowledge pattern non sensitive datum instance technique consider entire dataset input knowledge modeling bifurcation sensitive non sensitive instance henceforward inherent need upgrade dm technique include privacy specification prior knowledge extraction direction privacy preserving data mining ppdm approach play substantial role conserve delicate information prior knowledge extraction process essential ppdm algorithm safeguard sensitive datum obstruct utility datum dm output direction imperative design effective ppdm algorithm handle privacy apprehension datum current research work focus design novel ppdm algorithms base principle traditional concealment conservation technique aid safeguard sensitive information follow knowledge mining process direction present research carry diverse dataset phase discern', 'analytical frame work fault management communication networks fault management system play exceptional role design high performance communication network especially real time network application ensure continuous reliability guarantee availability resource fault management system detect isolate fix network problem task complex large network require number resource need have learning prediction base fault tolerant method manage fault diverse aspect demand effective distribute fault detection method enable speedy decision making early detection diagnosis defect congestion network play vital role define quality service offer network desirable reduce overloading condition possible small network find fault easy self learn algorithm work dynamic environment user network increase rapidly alternate method invent good solution provide machine learning algorithm capability predict network parameter historical relationship datum fault tolerant network need employ different technique connectivity phase infrastructure phase thesis contribute analytical approach phase optimal qos parameter thesis propose reward base algorithm connectivity phase distribute workload network reduce probability overload condition achieve fault tolerant system protocol suggest rout packet path optimum reward load balance software define network sdn deploy connectivity phase avoid single point failure decentralized architecture approach employ hybrid algorithm load balancing sdn design develop outperform exist algorithm']"
0,99,0_soil_water_concrete_analysis,"['soil', 'water', 'concrete', 'analysis', 'river', 'problem', 'study', 'method', 'scale', 'rainfall']","['micromechanical modeling fracture fatigue behavior cementitious composite ubiquitous use concrete construction material civil engineering industry demand thorough understanding failure process different type loading composite nature cementitious material concrete consist multiple phase defect exist different length scale give rise complex mechanism responsible nonlinear behavior observe macroscopic scale interaction phase property micro constituent important aspect deserve attention develop model describe mechanical response concrete concept continuum micromechanic effectively researcher predict overall behavior composite material compare conventional continuum model base fracture mechanic damage mechanic micromechanical approach advantage physically relevant model include necessary information microstructural attribute material actual damage mechanism cause material fail thesis macroscopic behavior plain concrete model monotonic fatigue load adopt principle continuum micromechanic damage concrete primarily ascribe growth microcrack internal structure concrete characterize presence numerous microcrack subject external load microcrack develop material separation coarse aggregate surround mortar matrix aggregatemortar interface term weak link concrete damage begin propagate distribute damage cause aggregate debonding stage damage incur concrete propagation interface crack explicitly simulate meso scale model employ elastic solution base fracture mechanic low scale resultant nonlinear macroscopic behavior', 'multi physics base modelling approach predict mechanical thermo mechanical behaviour cementitious composite multi scale framework concrete heterogeneous material constituent e.g. cement paste aggregate etc range characteristic length scale dimension nanometre metre owe heterogeneity concrete contrast nature constituent cement paste aggregate response ambient high temperature apply homogeneous macroscopic model predict concrete mechanical thermo mechanical performance questionable thesis multiple physical chemical process occur concrete constituent different length scale consider multi scale model develop study mechanical thermo mechanical behaviour concrete hygral thermal chemical mechanical htcm framework firstly govern equation htcm process describe meso scale length scale coarse aggregate explicitly model bind medium call mortar hierarchical homogenization approach employ evolution mechanical property etc upscale micro meso meso scale proposed methodology predict evolution mechanical property e.g. compressive strength time dependent deformation e.g. shrinkage creep cement paste mortar concrete wide variety factor e.g. type content constituent different curing condition etc like ambient condition developed model simulate thermo mechanical response e.g. term spalling deformation residual capacity etc plain reinforce concrete structural element effect meso macroscopic parameter e.g. interfacial transition zone aggregate shape random configuration aggregate etc concrete mechanical thermo mechanical behaviour study numerically meso scale validation propose methodology available experimental result ambient high temperature wid', 'low bound finite element limit analysis solve different planar axisymmetric stability problems soil rock media finite element limit analysis fela utilize concept finite element optimization procedure powerful technique find accurate solution different stability problem geomechanic analysis base theory plasticity bracket precisely numerical solution employ upper bind ub lower bind lb formulation different optimization method linear programming nonlinear programming implement researcher till solve different stability problem soil rock medium optimization problem associate limit analysis geomechanic generally nonlinear sparse nature linear nonlinear programming technique efficient solve limit analysis problem primary objective present research work implement advanced optimization technique lb fela solve different plane strain axisymmetric stability problem soil medium ii develop new efficient lb fela formulation conic optimization technique perform plane strain axisymmetric stability analysis rock medium implement formulation important plane strain axisymmetric stability problem rock medium analysis associate computer program write matlab toolbox mosek solve associated optimization problem reference objective important stability problem soil mechanic associate determination pullout capacity horizontal strip anchor ii stability vertical cylindrical excavation solve present thesis assume medium govern mohr coulomb mc failure criterion follow associated flow rule problem lb fela implement']"
1,93,1_device_optical_material_silicon,"['device', 'optical', 'material', 'silicon', 'band', 'transistor', 'high', 'application', 'semiconductor', 'film']","['van der waal heterojunctions emerge device applications low dimensional system exciting platform explore new physics realize novel device intriguing feature existence strongly bind multiparticle complex thickness dependent band structure enable utilize overcome challenge face bulk material conceive new technology isolation graphene class dimensional material grow tremendously array material choose implement idea vast understand underlie physics essential utilize property real life application explore optical electrical optoelectrical characteristic heterostructure base 2d layered system strongly bind excitonic complex host monolayer transition metal dichalcogenide semiconductor tmdc excellent platform probe body physic strong luminescence plethora exciting property good candidate application single photon emitter light emit diode work explore new way tune emission particle compromise luminescence high quality graphene hbn ws2 hbn au vertical heterojunction demonstrate time plane electric field drive change sign stark shift blue red different excitonic specie neutral exciton charge exciton trion charge biexciton defect bind exciton find encapsulate environment monolayer tmdc play vital role wave function spread determine magnitude blue stark shift provide theoretical framework understand underlie physic well finding important implication probe body interaction dimension develop layered semiconductor base tunable optoelectronic device significant advantage 2d material', 'fabrication characterization optomechanical devices silicon photonic promising platform photonic device circuit largely drive advanced complementary metal oxide semiconductor cmos processing technology extremely crucial component photonic device optical waveguide guide optical signal key development research area availability high quality silicon insulator soi wafer soi offer possibility highly integrated scale photonic device strong optical confinement result high index contrast silicon silicon oxide layer soi waveguide wide application range telecommunication optical interconnection chemical biosense work present conceptual design sense application 220 nm thin silicon microcantilever act optical waveguide end couple microcantilever waveguide sensitivity device dependent vertical misalignment transversal gap couple microcantilever waveguide fabricate soi base end couple waveguide 50 nm vertical misalignment vary transversal gap insertion loss measure end couple microcantilever waveguide have gap range 200 nm 600 nm gap create mill soi microbeam focused ion beam fib effect ion beam mill structure investigate device design operate single sensor different parameter refractive index change arise molecular bind strain induce temperature change usually require individual sensor element dedicate parameter design overcome multiplexing challenge utilize suspend bragg grate single defect respond differently refractive index change geometric change strain signal device effectively contain channel carry unique information molecular bind event', 'physics based design development gallium nitride high electron mobility transistors hemt schottky barrier diode power rf applications silicon base transistor mosfet preferred choice decade power high frequency device application meteoric rise silicon fuel quest highly efficient low cost switching device rate performance improvement silicon base device level past year underlie theoretical limit set fundamental physic extremely challenging deliver performance standard decline cost consistently gan rise promising alternative traditional silicon base technology wide bandgap ability conduct carrier high mobility infuse positive momentum moor law fundamental high electric field strength material ensure significant reduction device size give resistance breakdown voltage directly translate lower effective cost chip exist commercial product 10 time enhance performance compare silicon theoretical limit strong motivation optimize gan base device power rf application silicon base device long enjoy luxury establish technology development process optimize year iteration effort tcad base design step stone technology realization employ theoretical knowledge visualize physics real time device design optimization heart silicon industry design cost time save follow consistent cad design fabrication approach enormous contrary gan base device unique property associate design parameter conventional silicon device design knowledge extrapolate gan base device wide gap exist theoretical report performance gan base power rf device systematic design approach need involve simulation experiman']"
2,86,2_heat_flow_gas_fluid,"['heat', 'flow', 'gas', 'fluid', 'thermal', 'turbine', 'pressure', 'study', 'temperature', 'jet']","['study pressurized solar thermal receiver thermal energy storage system high efficiency power cycle concentrate solar power csp technology air supercritical carbon dioxide co2 base brayton cycle require high pressure high temperature condition gas turbine inlet require heating heat transfer fluid htf condition ~3 35 bar 900 1600 air ~200 bar 1000 co2 solar thermal receiver design analysis pressurize receiver system form important development solarize power plant couple optical thermal model develop analyze cavity base pressurized receiver dynamic variation solar radiation input optical involve focal region flux characterization fix focus scheffler reflector provide spatially resolve heat flux receiver cavity surface achieve combination sun experiment ray trace simulation hand transience heat input receiver capture curve fit measured dni variation time correspond experimental testing period spatially temporally vary heat flux couple thermal analysis receiver predict flow field enthalpy gain heat transfer fluid htf thermal loss receiver cavity numerical model subsequently validate sun experimental testing hybrid tubular cavity receiver 32 m2 scheffler dish heat input compress air 20 bar htf numerical experimental result find good agreement comparable condition prove effectiveness couple optical thermal model account transient nature receiver heating sun experiment receiver efficiency definition modify include thermal inertia receiver material observe natural convection dominant heat loss mechanism significantly reduce', 'study flow dynamic spray swirl interaction gas turbine combustor coupling spray coherent structure highly turbulent flow long stand problem especially context liquid fuel delivery system gas turbine combustor atomizer gas turbine combustor usually radial axial entry air swirler fuel nozzle mount centrally longitudinal axis swirler know swirl flow highly dimensional nature induce multiple aerodynamically unstable mode frequency order magnitude basic understanding flow dynamic gas turbine swirl cup critical achieve clean efficient combustion modern day gas turbine combustor work analyze evolution hydrodynamic topology consequent spray flow interaction coaxial swirl injector assembly key result present work discuss part global evolution temporal dynamic vortex breakdown mode discuss experiment carry set co annular flow reynolds number and#119877;and#119890;and#119886;=4896,10545,17546 furthermore and#119877;and#119890;and#119886 condition swirl number and#119878;and#119866 vary independently 0and#8804;and#119878;and#119866;and#8804;3 distinct form vortex breakdown pre vortex breakdown pvb central toroidal recirculation zone ctrz axisymmetric toroidal bubble type breakdown sudden conical breakdown explore great detail energy rank frequency resolve rank robust structure identification method pod dmd respectively implement instantaneous time resolve piv datum set extract dynamic coherent structure associate vortex breakdown mode dominant structure obtain pod analysis suggest dominance kh instability axial azimuthal account 80 total tke pvb ctrz remain energy contribute shed mode', 'characterization high enthalpy flow iisc free piston drive shock tunnel colour ratio pyrometry high temperature associated effect set hypersonic flow regime apart class flow viscous dissipation raise internal energy high kinetic energy gas slow boundary layer slow heat conduction vehicle surface gas temperature increase drastically lead real gas effect dissociation ionization molecule thicken boundary layer strong viscous interaction exist outer inviscid shock layer boundary layer lead pressure rise compare inviscid case pressure turn tend boundary layer thin expect increase temperature gradient cold wall case aerodynamic heating vehicle high temperature near vehicle airframe cause surface ablation heat shield release energy shock layer short duration flight small time flight experience ablation heat load vehicle little despite high temperature vicinity energy release affect aerothermodynamic performance effect energy deposition mean like plasma heat addition electric arc discharge chromium oxidation etc wave drag document open literature concrete measurement exist aerothermodynamic effect heat addition apart ablation flow separation occur shock boundary layer interaction sbli aft blunt nosed vehicle temperature dead air region separate region circulatory flow inside shear layer influence performance vehicle characterize apart sbli cause intense heating shock shock interaction classify edney study wave drag galore experiment exist characterize temperature distribution separate shear layer characterization phenomenon house free piston drive shock tunnel']"
3,86,3_cell_disease_drug_pathogen,"['cell', 'disease', 'drug', 'pathogen', 'immune', 'cellular', 'protein', 'study', 'vitro', 'molecule']","['development tool pathogen detection integrated multi omics approch infections cause harmful microorganism call pathogen bacteria fungus virus clinical diagnostic play important role infectious disease management diagnostic method identify pathogen traditional culture base method limited labour intensive low datum throughput molecular base method pcr require prior knowledge pathogen target specific limitation result delay diagnosis case infection undiagnosable generation sequencing ngs high throughput sequence technology recently gain popularity field clinical microbiology', 'development tool pathogen detection integrated multi omic approach infections cause harmful microorganism call pathogen bacteria fungus virus clinical diagnostic play important role infectious disease management diagnostic method identify pathogen traditional culture base method limited labour intensive low datum throughput molecular base method pcr require prior knowledge pathogen target specific limitation result delay diagnosis case infection undiagnosable generation sequencing ngs high throughput sequence technology recently gain popularity field clinical microbiology ngs method detect pathogen prior knowledge sequence information increasingly cost effective offer comprehensive insight gene mutation relation mechanism development anti microbial resistance amr pathogenicity', 'development tool pathogen detection integrated multi omics approch infections cause harmful microorganism call pathogen bacteria fungus virus clinical diagnostic play important role infectious disease management diagnostic method identify pathogen traditional culture base method limited labour intensive low datum throughput molecular base method pcr require prior knowledge pathogen target specific limitation result delay diagnosis case infection undiagnosable generation sequencing ngs high throughput sequence technology recently gain popularity field clinical microbiology']"
4,62,4_image_cancer_imaging_diagnosis,"['image', 'cancer', 'imaging', 'diagnosis', 'brain', 'segmentation', 'breast', 'method', 'reconstruction', 'mri']","['glaucoma detection classification model retinal oct image framework deep learning technique irreversible vision loss common consequence glaucoma demand accurate timely diagnosis effective glaucoma detection gd research aim enhance glaucoma classification accuracy fuse information distinct imaging modality like optical coherence tomography images octi fundus image fi research work divide stage segmentation octi fi feature base fusion octi fi deep learning dl multi modal convolution neural networks mm cnn approach fusion fi octi segmentation fi octi essential improve gd system performance medical imaging processing serve crucial role diagnosing enhancement image segmentation fi involve divide retinal image acquire fundus photography separate region like inner surface eye encompass anatomical element optic disc macula blood vessel utilize active contour model match filter hessian matrix segment fi offer numerous advantage gd octi layer segmentation encompass delineation retinal ocular tissue layer oct imaging technology non invasive imaging technique deliver detailed high resolution cross sectional image retina enable clinician visualize micro structural change effectively segmentation process involve identify outline layer retinal nerve fiber layer ganglion cell layer inner plexiform layer inner nuclear layer outer plexiform layer outer nuclear layer photoreceptor layer retinal pigment epithelium choroid precise segmentation layer vital quantify thickness volume morphological parameter assist diagnosis monitoring treatment glaucoma disease deep learning explore fusion modality innovative neural network architecture op', 'design development efficient segmentation algorithm analysis brain tumor mr image recent time brain cancer significant reason mortality large section population globe different variety cancer brain tumor require immediate diagnosis effective treatment save patient life segmentation brain tumor common process medical setup provide datum help preliminary diagnosis planning treatment perform segmentation tumor manually radiologist physician tedious require lot time huge clinical datum produce today hospital challenging significant issue associate medical image segment give image automatic brain tumor segmentation classification identification increase interest medical field high accuracy computational time imaging modality mri play major role visualization anatomical structure brain help treatment planning dose estimation image guide surgery main contribution propose work development segmentation classification algorithm algorithm turn overcome challenge exist brain tumor segmentation algorithm propose research work algorithm develop implement successfully efficient segmentation classification brain tumor contribution development hybrid algorithm segmentation brain tumor method variational level set means clustering combine develop segmentation algorithm recently deformable model extensively detect boundary tumor mri image human brain extremely weak convergence contour concavity tumor move unwanted feature image traditional active contour limited application overcome limitation hybrid approach i.e. region base mean cluster', 'graph theory base image segmentation brain tumor detection recent year brain cancer significant reason mortality large section population globe perform segmentation tumor manually radiologist physician tedious job require lot time huge clinical datum produce today hospital imaging modality mri play major role visualization anatomical structure brain main contribution propose work development segmentation classification algorithm research work perform pre processing input image improve quality image pre processing technique like region interest inverse methodology boundary deduction method median filter remove noise unwanted datum image region interest identification include distinguish image region totally different rear ground regard option like distinction color region size form texture pattern inverse technique support spot low high boundary digitally regenerated value boundary technique outer space image remove solely region know image take cluster median filter remove noise sharp edge present mr image preserve edge character pre processed image mention technique segmentation classification process contribution development graph theoretical approach segmentation brain tumor method graph theory dynamic programming method combine develop segmentation algorithm graph theoretical approach extensively detect boundary tumor mri image human brain flexibility represent type image minimization representation image graph theoretic method']"
5,56,5_power_control_energy_voltage,"['power', 'control', 'energy', 'voltage', 'inverter', 'system', 'fault', 'converter', 'grid', 'renewable']","['dynamic modeling performance evaluation hybrid renewable energy distributed generation system conventional energy resource like coal oil gas generation electricity consume fast rate deposit get deplete near future huge energy crisis go worldwide problem usage non conventional resource like solar wind biomass etc power generation gain momentum major advantage resource environmental friendly available freely irrespective region religion major drawback intermittent nature resource result interruption power supply avoid energy storage system inevi improve reliability continuity current technology involve integrate multiple diverse renewable energy source power electronic converter essential sector convert condition power generate conventional hybrid power system renewable resource operate individual converter source multiple source consider system complicated design control switch device undergo huge voltage current stress lead reduce operate life time device increase switching loss overcome limitation instead converter single multiple input converter reduce complexity number passive component derive converter supply power individually collectively improve reliability overcome switch stress problem exist topology modify operate soft switching mechanism like zero voltage switching zero current switching basically hybrid power system use separate controller converter regulate dc bus voltage possible operating condition control mechanism multiple controller complicated instead single controller multiple input system reduce difficulty control output voltage', 'study multilevel sided polygonal voltage space vector structure generation single dc link variable speed drive applications multilevel voltage source inverter widely accept cost effective power converter technology application require high power medium voltage control demand power level requirement reach operational limit megawatt range multilevel inverter mli find application power transmission distribution system like hvdc connect high voltage network line control ac drive operate medium voltage level low voltage application prevalent topology dominate industrial drive conventional level inverter state art semiconductor technology self commutate converter arrangement low voltage device help achieve voltage range till hundred kilovolt apart high voltage operational capability advantage like power quality control well electromagnetic compatibility low switching loss multilevel inverter class conventional level inverter order attain good waveform quality inverter need switch high frequency harmonic appear switch frequency sideband easily filter externally consider large voltage stress handle device level inverter large switching loss device degrade efficiency system substantially specific application like medium voltage drive major issue electromagnetic interference device stress harmonic performance dv dt control address employ multilevel inverter', 'design development cascaded bridge multilevel inverter strategy renewable energy integration smart grid small scale power distributed generation dg unit familiar today world increase electric power demand dg small scale system generally benefit energy resource solar wind fuel cell etc energy efficient smart grid accomplish integration photovoltaic pv system power electronic converter smart control establish interface utility grid dg system ongoing challenge power electronic interface include renewable energy integration power quality improvement grid synchronization controlling active power reactive power grid single phase inverter system dq synchronous reference frame srf method challenging task transformation state variable system require independent phase active power supply grid dq srf control technique establish phase system thesis focusse mainly single phase system generate high efficiency low harmonic distortion expensive topology send quality power grid lead great diversity novel system design different insolation level sun partial shading effect solar panel severe cause energy loss drop efficiency grid connect pv system observe overcome loss energy improve efficiency pv solar system maximum power point tracking mppt algorithm widely renewable integration system impedance matching algorithm like incremental conductance ic mppt method primarily obtain high power generally pv base dg system compose pv array ic mppt dc dc converter inverter follow transformer grid transformer act harmonic filter loss occur transformer noticeable multilevel inverter mli alternate topology avoid transformer grid']"
6,51,6_alloy_microstructure_temperature_superalloy,"['alloy', 'microstructure', 'temperature', 'superalloy', 'creep', 'phase', 'ni', 'co', 'texture', 'ti']","['understand role addition design development high specific strength l12 strengthen co base superalloy ni base superalloy excellent mechanical thermal oxidation resistance property great demand energy application time varied composition ni base superalloy utilize fabrication aero base land base turbine recently propose key alloy construction advanced ultra supercritical ausc plant co 40 ºc high melt temperature ni offer superior sulfidation hot corrosion thermal fatigue resistance elevated temperature recent discovery suggest co base superalloy have similar microstructure ni base superalloy synthesize base composition co al co al mo nb ta development demonstrate co base superalloy promising alternative ni base superalloy major challenge co base superalloy development obtain high and#947;and#697;(l12)-solvus temperature low mass density high specific strength elevated temperature long term microstructural stability well creep property optimum oxidation resistance current work investigate potential additive co al base system produce and#947;and#697;(l12)-strengthened co base superalloy have complet\xad\xade solid solubility mo systematically replace base composition co-10al-5mo-2nb alloy earn benefit and#947;and#697;-solvus temperature mass density detailed microscopic characterization microanalysis study developed co-10al-5v-2nb alloy demonstrate role interaction participate element and#947;- and#947;and#697;- phase guide development novel and#947;and#697;-strengthene co al ternary system endeavour ni ti add lead design new class low density co base super alloy parallel effort oxidation behaviour develop co ni al ti nb alloy study 800 ºc 900 ºc', 'improvement high temperature oxidation behavior free strengthen co base superalloys alloying addition discovery coherent microstructure co al co al mo nb ta system represent new possibility turbine engine material chemical mechanical property similar commercially successful ni base superalloy present work aim understand oxidation behavior free and#947 strengthen co base superalloy understand oxidation kinetic mass change alloy record time isothermal exposure elevated temperature 650 950 static air elucidate oxidation mechanism alloy depth analysis kinetic datum characterization oxide scale carry high temperature isothermal oxidation behavior basic co-30ni-10al-5mo-2ta at% alloy study static atmosphere provide benchmark information oxidation behavior atom% ti add alloy evaluate consequence ti addition additionally systematic addition cr 5at% 8at% co-30ni-10al-5mo-2ta-2ti at% evaluate series mo free co-30ni-10al-2nb 12 cr 4)ti at% alloy system possess superior high temperature property effect ti cr alloy system study point view environmental degradation oxidation different type oxide layer observe outer layer comprise cobalt rich oxide follow mixed oxide middle inner layer oxide ta al mo ti cr nb detect middle layer phase transformation alumina oxide amorphous crystalline and#945;-al2o3 observe addition ti cr base alloy alloy and#947;-and#947 microstructural stability oxide matrix interface oxidation oxidation induce secondary phase observe alloy oxide matrix interface compare formation co3w phase contain alloy', 'novel l12 precipitate harden co base alloy conventional cobalt base superalloy rely solid solution carbide precipitate base strengthening lack high temperature 800 and#730;c creep strength compare ni base superalloy strengthen and#947;and#8242 precipitate have l12 crystal structure coherent and#947 matrix blade land base gas turbine electricity generation need possess hot corrosion resistance sulphur gasify coal fuel motivate present work investigate co ti alloy develop co base superalloy possess and#947 and#947;and#8242 phase microstructure similar ni base superalloy co ti system thermodynamically stable and#947;and#8242 phase lattice misfit and#947 and#947;and#8242 phase unacceptably high vanadium small atomic size compare titanium add minimize misfit objective thesis investigate effect vanadium addition cobalt titanium system physical mechanical property co ti alloy vacuum arc melt cast rod form follow heat treatment microstructural characterization mechanical testing carry evaluate strength room temperature high temperature principle density functional theory calculation finite element modelling discrete dislocation dynamic perform analyze effect parameter physical mechanical property addition co ti system decrease and#947;and#8242 solvus increase solidus liquidus temperature improve homogenisation temperature window and#947;and#8242 precipitate morphology change cuboidal cuboidal round corner increase concentration composition and#947;and#8242 phase suggest ti well and#947;and#8242 phase v. extent discontinuous precipitation grain boundary co ti system decrease addition constrained lattice parameter misfit and#947 and#947;and#8242 phase decrease addition and#947;and#8242 phase stoichiomet']"
7,38,7_cloud_service_load_computing,"['cloud', 'service', 'load', 'computing', 'balancing', 'resource', 'scheduling', 'virtual', 'storage', 'environment']","['efficient methodologies virtualization security cloud computing cloud computing computing paradigm service e.g. network server storage application service deliver access network distribute environment enable ubiquitous convenient demand network access share pool configurable compute resource rapidly provision release minimal management effort service provider interaction cloud user host application store datum cloud provider domain cloud essential technology million user provide utilize service virtual machine virtual machine provide facility actual machine computation power storage storage processing sensitive information virtual machines need secure overcome threat propose research work explore implement efficient methodology provide security virtual machine cloud security major concern cloud environment care security parameter integrity confidentiality reliability availability thesis propose technique achieve security virtual machines technique include trust base methods software defined network framework cryptographic algorithm simulation approach able mitigate threat efficiency method demonstrate compare exist methodology iii building trust cloud service provider cloud user essential factor receive secured service virtual machine deployment hybrid trust model propose find trust cloud service provider user deploy secured environment virtual machine register need authenticate authorize service virtual machine access grant verification user credential multistage authentication approach', 'efficient methodologies virtualization security cloud computing cloud computing computing paradigm service e.g. network server storage application service deliver access network distribute environment enable ubiquitous convenient demand network access share pool configurable compute resource rapidly provision release minimal management effort service provider interaction cloud user host application store datum cloud provider domain cloud essential technology million user provide utilize service virtual machine virtual machine provide facility actual machine computation power storage storage processing sensitive information virtual machines need secure overcome threat propose research work explore implement efficient methodology provide security virtual machine cloud security major concern cloud environment care security parameter integrity confidentiality reliability availability thesis propose technique achieve security virtual machines technique include trust base methods software defined network framework cryptographic algorithm simulation approach able mitigate threat efficiency method demonstrate compare exist methodology iii building trust cloud service provider cloud user essential factor receive secured service virtual machine deployment hybrid trust model propose find trust cloud service provider user deploy secured environment virtual machine register need authenticate authorize service virtual machine access grant verification user credential multistage authentication approach', 'availability base load balancing algorithms cloud computing systems cloud computing emerge efficient computing model connect distribute resource inter connected virtualize computer provision user demand network access share pool resource e.g. network server storage application service gain lot attention researcher year exist problem find address properly load balancing prominent issue need rectify impact cloud resource provisioning instant internet service user connect cloud network area cloud computing demand number practical application future close look conventional research work approve fact few study focus significantly overcome load balancing issue cloud compare routing energy efficient green computing owe issue load balancing insight kind literature show possibility solve load balance problem cluster base queue base approach coalition virtual machines vm play crucial role incentive base resource provisioning propose research attempt overcome problem introduce different analytical framework adopt different algorithm approach efficient cloud resource provisioning task computation study split complete development phase different framework analytical modeling joint routing schedule algorithm joint routing scheduling algorithm efficient resource provisioning cloud jrs erp integrate load balancing model ii efficient resource provisioning scheme minimize cloud traffic load framework optimization traffic management fotm simulate framework']"
8,30,8_co_energy_photocatalytic_material,"['co', 'energy', 'photocatalytic', 'material', 'reaction', 'carbon', 'metal', 'battery', 'synthesize', 'synthesis']","['design development evaluation performance parameters supercapacitors supercapacitors scs new energy storage devices esd exhibit unique feature high capacitance high power density long cycle life owe property attract great deal attention field energy storage application electric vehicles evs power supply portable device widely esd li ion lead acid battery possess high energy density long hour charge low power density result degradation battery sc recharge short interval time exhibit high power density crucial constituent supercapacitor electrode electrolyte material supercapacitor specifically property electrode material substantial influence device performance consequently significant opportunity engineering material improve energy density power density cycle lifetime cost performance supercapacitor furthermore property intelligently tailor specific application electrode material high surface area activate carbon remain electrode material choice supercapacitor activate carbon symmetric charge discharge power capability long cycle life current research focus way recognize diversity biomass precursor order develop cost effective eco friendly carbon material suitable use electrode supercapacitor primary objective work develop high performance electrode material nanocomposite metal oxide sc current research work describe synthesis biomass derive porous nanostructure activate carbon biomass precursor carefully choose synthesis orange peel sugarcane bagasse bamboo orange peel derive activated carbon opac sugarcane bagasse derive activated carbon', 'synthesis characterization nanoporous anode li battery thesis explore role transition metal oxide tmos hybrid tmo development anode material lithium ion battery libs tmos hybrid tmo synthesize simple cost effective eco friendly method nio particle synthesize solid state combustion method mn3o4 nimno3 prepare solution combustion method structural property material confirm powder ray diffraction xrd functional group analyze ft ir spectroscopy surface morphology study fesem hrtem elemental composition examine edax analysis uv visible spectroscopy optical absorption bandgap analysis bet analysis determine specific surface area pore size pore structure electrochemical study reveal synthesize material exhibit excellent storage property make promise candidate lib anode material high theoretical capacity long cycle life superior charge discharge performance additionally material display eco friendly photocatalytic property effectively degrade organic azo dye nio particle synthesize annealing temperature show improved crystallinity decrease bandgap increase annealing particle demonstrate high capacitance 50.78 efficient degradation methylene blue mb dye showcase potential energy storage environmental application mn3o4 particle synthesize vary metal fuel ratio exhibit enhanced charge holding capability catalytic efficiency dye degradation nimno3 particle prepare tamarind seed powder fuel display good electrochemical performance photocatalytic efficiency rhodamine dye degradation study suggest tmo hybrid tmo viable candidate energy storage environmental remediation application', 'synthesis characterization nanoporous anode li battery thesis explore role transition metal oxide tmos hybrid tmo development anode material lithium ion battery libs tmos hybrid tmo synthesize simple cost effective eco friendly method nio particle synthesize solid state combustion method mn3o4 nimno3 prepare solution combustion method structural property material confirm powder ray diffraction xrd functional group analyze ft ir spectroscopy surface morphology study fesem hrtem elemental composition examine edax analysis uv visible spectroscopy optical absorption bandgap analysis bet analysis determine specific surface area pore size pore structure electrochemical study reveal synthesize material exhibit excellent storage property make promise candidate lib anode material high theoretical capacity long cycle life superior charge discharge performance additionally material display eco friendly photocatalytic property effectively degrade organic azo dye nio particle synthesize annealing temperature show improved crystallinity decrease bandgap increase annealing particle demonstrate high capacitance 50.78 efficient degradation methylene blue mb dye showcase potential energy storage environmental application mn3o4 particle synthesize vary metal fuel ratio exhibit enhanced charge holding capability catalytic efficiency dye degradation nimno3 particle prepare tamarind seed powder fuel display good electrochemical performance photocatalytic efficiency rhodamine dye degradation study suggest tmo hybrid tmo viable candidate energy storage environmental remediation application']"
