topic_id,total_docs,recent_docs,growth_percent,trend_score,Topic,Count,Name,Representation,Representative_Docs,trend_category
76,64,31,212.5,887.0572948528228,76,64,76_iot_intrusion_threat_botnet,"['iot', 'intrusion', 'threat', 'botnet', 'attack', 'anomaly', 'detection', 'attacks', 'deep', 'enterprise']","['real time iot intrusion detection lightweight graph neural network approach', 'network intrusion detection iot botnet attacks ml algorithms', 'ai iot base intrusion detection system enhanced smart home security']",Emerging
46,84,17,180.0,799.677226168257,46,84,46_spectrum_cognitive_radio_sensing,"['spectrum', 'cognitive', 'radio', 'sensing', 'sense', 'cooperative', 'radios', 'noise', 'archana', 'generalized']","['asymptotic analysis generalized energy base spectrum sensing cognitive radio', 'performance analysis ml techniques spectrum sensing cognitive radio', 'approach advanced spectrum sensing cognitive radio networks']",Emerging
64,70,31,166.66666666666669,710.4466461735526,64,70,64_intrusion_cyber_threat_attack,"['intrusion', 'cyber', 'threat', 'attack', 'day', 'honeypot', 'prevention', 'detection', 'q3', 'sql']","['hybrid machine learning based intrusion detection zero day attack prevention digital education networks international information engineering technology association scopus q3', 'hybrid machine learning based intrusion detection zero day attack prevention digital education networks', 'intrusion detection system machine learning']",Emerging
84,59,15,140.0,573.208238711094,84,59,84_titanium_deformation_aluminide_texture,"['titanium', 'deformation', 'aluminide', 'texture', 'hot', 'recrystallization', 'commercially', 'ti45al5', 'pure', 'alloy']","['hot deformation response titanium aluminide ti–45al-(5 10)nb-0.2b-0.2c pre condition microstructure', 'development recrystallization texture commercially pure titanium experiment simulation', 'influence temperature strain rate microstructural evolution hot compression ti-45al xnb-0.2c-0.2b titanium aluminide alloy']",Emerging
35,107,23,112.5,526.7397630514747,35,93,35_superconductor_superconductivity_superconducte_skyrmion,"['superconductor', 'superconductivity', 'superconducte', 'skyrmion', 'majorana', 'supercoole', 'superfluid', 'lattice', 'honeycomb', 'vortex']","['emergent wave superconductivity dual topological insulator bise superconducte proximity effect', 'novel emergent phase dimensional superconductor', 'sn0.06cr3te4 skyrmion superconductor']",Emerging
63,70,17,116.66666666666667,497.31265232148684,63,70,63_soil_lime_clay_soils,"['soil', 'lime', 'clay', 'soils', 'moisture', 'marine', 'kaolinitic', 'unsaturated', 'cochin', 'contaminated']","['experimental investigation bio modify soil', 'soil', 'value soil temperature datum versus soil moisture datum state parameter flux estimation unsaturated flow model']",Emerging
96,54,13,100.0,400.73331852324714,96,54,96_radar_fmcw_doppler_target,"['radar', 'fmcw', 'doppler', 'target', 'mmwave', 'sidelobe', 'targets', 'spoofing', 'range', 'signal']","['target classification mmwave fmcw radar machine learning range angle images', 'uav micro doppler signature analysis fmcw radar', 'extraction analysis micro doppler signature fmcw radar']",Emerging
49,80,26,80.0,351.55593237379514,49,81,49_electricity_demand_grid_smart,"['electricity', 'demand', 'grid', 'smart', 'grids', 'metering', 'meter', 'renewable', 'management', 'forecasting']","['effectiveness demand response achieve supply demand matching renewable dominate electricity system modelling approach', 'demand management smart electricity grid review', 'hybrid reinforcement learning framework multi objective demand response optimization smart grids']",Emerging
75,64,14,66.66666666666666,278.2924846597091,75,64,75_entropy_alloy_refractory_high,"['entropy', 'alloy', 'refractory', 'high', 'equiatomic', 'cocrfemnni', 'eutectic', 'bcc', 'deformation', 'crmnfeconi']","['alloy design phase selection rule high entropy alloy', 'high strain rate deformation behavior al0.65cocrfe2ni dual phase high entropy alloy', 'high entropy alloy coating']",Emerging
27,132,57,45.83333333333333,224.1410017101637,27,111,27_supercapacitor_electrode_asymmetric_supercapacitors,"['supercapacitor', 'electrode', 'asymmetric', 'supercapacitors', 'electrochemical', 'fe', 'foam', 'mn', 'electrodes', 'micro']","['material supercapacitor', 'hybrid supercapacitor', 'supercapacitor']",Emerging
42,87,48,50.0,223.86684072391034,42,87,42_quantum_post_cryptography_classical,"['quantum', 'post', 'cryptography', 'classical', 'qiskit', 'cryptographic', 'key', 'secure', 'pqc', 'rebalancing']","['quantum enable discrete distribution sampling post quantum lattice base cryptography', 'optimal parameter prediction secure quantum key distribution quantum machine learning models', 'quantum resilient cryptography survey classical quantum algorithms']",Emerging
62,71,33,50.0,213.83330595080275,62,71,62_bridge_converter_active_dc,"['bridge', 'converter', 'active', 'dc', 'isolated', 'ac', 'stage', 'pfc', 'triple', 'zvs']","['dynamic modeling control dual active- bridge dc dc converter triple phase shift modulation', 'optimal design dual active bridge dc dc converter', 'optimal design dual active bridge base single stage dc ac converter']",Emerging
74,65,18,50.0,209.48273710132125,74,65,74_mems_piezoelectric_diaphragm_transducer,"['mems', 'piezoelectric', 'diaphragm', 'transducer', 'piezoresistive', 'resonator', 'acoustic', 'ultrasound', 'piezo', 'resonators']","['impact diaphragm structure linearity temperature sensitivity low pressure piezo resistive mems pressure sensor', 'performance analysis optical mems base pressure sensor ring resonators structure circular diaphragm', 'ultrasensitive pressure sensor base integrated circular piezoelectric mems resonator diaphragm structure']",Emerging
82,58,28,50.0,203.87687219528598,82,59,82_disease_leaf_plant_rice,"['disease', 'leaf', 'plant', 'rice', 'q1', 'bigru', 'crop', 'medicinal', 'cnn', '15']","['study leaf disease deep learning', 'plant disease detection deep learning', 'deep learning base plant disease detection']",Emerging
90,56,20,44.44444444444444,179.69116745931333,90,56,90_object_camouflage_pedestrian_hog,"['object', 'camouflage', 'pedestrian', 'hog', 'detection', 'yolov8', 'ltp', 'yolov5', 'yolov4', 'yolov7']","['camouflage object detection machine vision application', 'hybrid technique object recognition', 'deep learning techniques real time object detection classification']",Emerging
18,168,52,34.78260869565217,178.4312596494982,18,126,18_droplet_sessile_evaporation_drop,"['droplet', 'sessile', 'evaporation', 'drop', 'breakup', 'superhydrophobic', 'droplets', 'coalescence', 'evaporate', 'atomization']","['laser pulse droplet interaction enable deformation fragmentation droplet array', 'universal evaporation dynamic order array sessile droplet', 'insight bubble droplet interaction high viscoelastic evaporate polymer droplet']",Emerging
13,199,47,33.33333333333333,176.6105788849345,13,134,13_speech_speaker_articulatory_voice,"['speech', 'speaker', 'articulatory', 'voice', 'end', 'acoustic', 'recognition', 'diarization', 'audio', 'whispered']","['signal speech', 'speech recognition system deep neural network', 'performance analysis speech speaker recognition system different optimization strategy']",Emerging
36,106,45,35.0,163.54900920616672,36,93,36_charging_electric_vehicle_station,"['charging', 'electric', 'vehicle', 'station', 'ev', 'charge', 'charger', 'vehicles', 'battery', 'wireless']","['smart charging station electric vehicles solar power', 'intelligent charging system electric vehicle battery', 'implementation smart electric vehicle charging station driven experimental investigation']",Emerging
56,74,33,33.33333333333333,143.91627045121032,56,74,56_perovskite_cells_solar_cell,"['perovskite', 'cells', 'solar', 'cell', 'niox', 'passivation', 'layer', 'tin', 'transport', 'tandem']","['effect ionic liquid 2d-3d lead base perovskite solar cells', 'role electrode perovskite solar cell performance review', 'mixed‐dimensional 2d–3d perovskite solar cells']",Emerging
65,68,21,30.0,127.0231951379178,65,69,65_magnetic_nanorobot_nanomotor_helical,"['magnetic', 'nanorobot', 'nanomotor', 'helical', 'nanobot', 'electromagnet', 'actuation', 'manipulation', 'nanobots', 'actuator']","['independent actuation ferrobot plane grid electromagnet', 'evidence successful manipulation magnetic nanorobot inside hard tumor live animal', 'actuation ferrobot plane independent swarm motion grid electromagnet']",Stable
105,51,21,30.0,118.53731155744282,105,51,105_photodynamic_therapy_bodipy_red,"['photodynamic', 'therapy', 'bodipy', 'red', 'complex', 'curcumin', 'dipyrromethene', 'light', 'pdt', 'mitochondria']","['cobalt(iii dibromo bodipy-8 hydroxyquinolinate mitochondria target red light photodynamic therapy', 'cobalt(iii dibromo bodipy-8 hydroxyquinolinate mitochondria target red light photodynamic therapy', 'platinum(ii boron‐dipyrromethene complex cellular imaging mitochondria‐targete photodynamic therapy red light']",Stable
57,74,23,27.27272727272727,117.74967582371754,57,74,57_phosphor_photoluminescence_luminescence_nanophosphor,"['phosphor', 'photoluminescence', 'luminescence', 'nanophosphor', 'eu3', 'display', 'judd', 'ofelt', 'led', 'white']","['tb3+/eu3 co dope nala(moo4)2 phosphor photoluminescence optical thermometry study solid state lighting sensor application', 'enhanced photoluminescence decay study li co dope laalo3 ce3 phosphor display application', 'effect photoluminescence property li+ ca2 bi3 ion co dope srmoo4 eu3 phosphor judd ofelt analysis solid state lighting application']",Stable
68,68,32,26.666666666666668,112.90950678926026,68,68,68_fluorescence_emitter_oled_delay,"['fluorescence', 'emitter', 'oled', 'delay', 'thermally', 'activate', 'emit', 'phosphorescence', 'tadf', 'diode']","['mechanical bond tune performance thermally activate delay fluorescence emitter', 'ultrathin non dope thermally activate delay fluorescence emit layer highly efficient oled', 'multifunctional thermally activate delay fluorescence emitter dope non dope organic light emit diode']",Stable
72,59,16,25.0,102.35861405555251,72,67,72_convection_porous_saturate_vertical,"['convection', 'porous', 'saturate', 'vertical', 'fluid', 'thermosolutal', 'layer', 'throughflow', 'anisotropic', 'oldroyd']","['convection heat transfer porous medium saturate oldroyd fluid review', 'impact thermal non equilibrium stability natural convection oldroyd fluid saturate vertical porous layer internal heat source', 'weakly nonlinear stability thermosolutal convection oldroyd fluid saturate anisotropic porous layer local thermal nonequilibrium model']",Stable
37,104,29,21.428571428571427,99.72772178908977,37,92,37_face_facial_mask_attendance,"['face', 'facial', 'mask', 'attendance', 'recognition', 'distancing', 'gender', 'lbph', 'locally', 'social']","['fpga implementation face recognition system', 'real time face mask detection cnn', 'face recognition attendance system']",Stable
61,71,18,22.22222222222222,95.03702486702345,61,71,61_rotor_bearing_bearings_brake,"['rotor', 'bearing', 'bearings', 'brake', 'gear', 'vibration', 'xlrotor', 'tires', 'spokes', 'tadpole']","['analysis jeffcott rotor rotor disk xlrotor', 'dynamic analysis multi disc flexible rotor bearing system isotropic stiffness vary geometric parameters', 'dynamic analysis single disc flexible rotor bearing system isotropic stiffness vary geometric parameters']",Stable
23,149,59,17.857142857142858,89.47563025171885,23,117,23_adder_multiplier_multipli_float,"['adder', 'multiplier', 'multipli', 'float', 'adders', 'approximate', 'karatsuba', 'point', 'multipliers', 'floating']","['implementation 32 bit complex float point multiplier vedic multiplier array multiplier combined integer float point multipli cifm', 'implementation floating point unit base booth multiplier compressor adder', 'design implementation array multiplier bit accurate approximate adder']",Stable
22,153,35,17.647058823529413,88.88739886612288,22,117,22_gan_algan_hemt_buffer,"['gan', 'algan', 'hemt', 'buffer', 'breakdown', 'gate', 'schottky', 'electron', 'diode', 'aln']","['algan gan hemt silicon grade algan barrier rf applications', 'physical insights electron trap mechanism carbon dope gan buffer algan gan hemt impact dynamic resistance', 'engineering transition layer algan gan hemt si high voltage application']",Stable
102,52,18,22.22222222222222,88.22870919004716,102,52,102_supercritical_co2_brayton_dioxide,"['supercritical', 'co2', 'brayton', 'dioxide', 'inward', 'cycle', 'radial', 'turbomachinery', 'sco2', 'cycles']","['novel supercritical carbon dioxide cycle waste recovery application', 'brayton cycle supercritical co2 power block industrial waste heat recovery', 'control strategies supercritical carbon dioxide brayton cycles']",Stable
14,188,63,16.666666666666664,87.36245025099403,14,129,14_equation_problem_galerkin_problems,"['equation', 'problem', 'galerkin', 'problems', 'homogenization', 'differential', 'parabolic', 'equations', 'elliptic', 'discontinuous']","['new approach solve elliptic obstacle problem discontinuous galerkin method', 'finite element analysis constrained dirichlet boundary control problem govern linear parabolic equation', 'high order approximation fractional order integro parabolic partial differential equation adaptive mesh error analysis']",Stable
69,68,20,20.0,84.6821300919452,69,68,69_dopamine_electrochemical_glucose_electrode,"['dopamine', 'electrochemical', 'glucose', 'electrode', 'catechol', 'paste', 'modify', 'enzymatic', 'paracetamol', 'laccase']","['electrochemical detection catechol biochar copper oxide nanoparticle layer carbon paste electrode', 'study efficacy modify electrode carbon graphene base quantum dot dopamine detection', 'reliable electrochemical sensor detection catechol hydroquinone mgo modify carbon paste electrode']",Stable
48,82,22,18.181818181818183,80.34255650539271,48,82,48_photodetector_dot_photodetection_uv,"['photodetector', 'dot', 'photodetection', 'uv', 'quantum', 'visible', 'photodetectors', 'photoresponse', 'colloidal', 'sns']","['fabrication snse nanostructure visible light photodetector', 'ch3nh3pbbr3 quantum dot visible wavelength photodetector application', 'enhanced photodetection performance silver dope tin sulﬁde photodetector visible light photodetection']",Stable
60,73,11,16.666666666666664,71.73441822006949,60,73,60_convective_mhd_heat_transfer,"['convective', 'mhd', 'heat', 'transfer', 'casson', 'fluid', 'convection', 'flow', 'vertical', 'soret']","['soret dufour effect mhd double diffusive mixed convective heat mass transfer couple stress fluid channel form electrically conduct non conduct wall', 'numerical study thermal diffusion diffusion thermo effect mixed convective flow mass transfer presence mhd accelerate surface', 'mhd mixed convective boundary layer flow grade fluid vertical stretching sheet']",Stable
