Topic,Count,Name,Representation,Representative_Docs,source
0,278,0_epoxy_fiber_composite_reinforce,"['epoxy', 'fiber', 'composite', 'reinforce', 'jute', 'fibre', 'glass', 'composites', 'mechanical', 'laminates']","['damp free vibration analysis woven glass fiber reinforce epoxy composite laminates', 'fabrication microstructure study wear characteristics coconut shell powder fill natural sisal jute fiber reinforced epoxy composites', 'development investigation mechanical property natural fiber reinforce polymer composite']",publication
1,235,1_magnetic_ferrite_spin_spinel,"['magnetic', 'ferrite', 'spin', 'spinel', 'multiferroic', 'cofe2o4', 'bifeo3', 'co', 'pt', 'magnetoelectric']","['determination magnetic property spinel ferrite 57fe zero field nmr', 'strain tune magnetic anisotropy nickel zinc ferrite thin film', 'metal co substitution assist electrical magnetic property ferrite cofe2o4']",publication
2,223,2_ion_battery_cathode_batteries,"['ion', 'battery', 'cathode', 'batteries', 'sodium', 'lithium', 'li', 'na', 'anode', 'rechargeable']","['mechanistic insight ion transport layered materials sodium ion rechargeable batteries', 'manganese base tunnel type cathode materials secondary li ion ion batteries', 'nanostructured cathode materials li‐/na‐ion aqueous non‐aqueous batteries']",publication
3,178,3_gravitational_black_dark_hole,"['gravitational', 'black', 'dark', 'hole', 'gravity', 'matter', 'white', 'dwarf', 'neutron', 'primordial']","['gravitational wave f(r gravity possible signature sub- super chandrasekhar limiting mass white dwarfs', 'primordial black hole gravitational wave signature', 'continuous gravitational wave magnetize white dwarf']",publication
4,177,4_wear_sic_aluminium_matrix,"['wear', 'sic', 'aluminium', 'matrix', 'composites', 'mmc', 'composite', 'reinforce', 'mechanical', 'al7075']","['study microstructure wear property novel aluminium modify fly ash composite', 'study microstructure wear property novel aluminium modify fly ash composite', 'optimization wear behaviour al7075 sic al mmc statistical method']",publication
5,163,5_biodiesel_diesel_engine_biomass,"['biodiesel', 'diesel', 'engine', 'biomass', 'oil', 'production', 'fuel', 'biogas', 'blend', 'ignition']","['experimental investigation direct injection diesel engine waste plastic oil fuel', 'effect novel bio waste derive nano particle additive performance diesel engine fuel waste cooking oil biodiesel blend', 'biodiesel biomass production sustainable biodiesel fuel']",publication
6,157,6_photonic_silicon_waveguide_resonator,"['photonic', 'silicon', 'waveguide', 'resonator', 'ring', 'nitride', 'grating', 'coupler', 'biosensor', 'crystal']","['square ring resonator base photonic crystal pressure sensing', 'silicon embed high efficiency grating coupler 125 nm thin silicon nitride waveguide', 'visible wavelength photonic integrated circuit silicon nitride platform chip sensing applications']",publication
7,154,7_antenna_patch_microstrip_band,"['antenna', 'patch', 'microstrip', 'band', 'slot', 'dual', 'circularly', 'loaded', 'multiband', 'polarize']","['design development novel patch antenna array application', 'performance enhancement microstrip patch antenna slot communication', 'multi frequency microstrip patch antenna review design application']",publication
8,153,8_graph_vertex_graphs_domination,"['graph', 'vertex', 'graphs', 'domination', 'laceability', 'cover', 'percolation', 'dominating', 'approximation', 'indices']","['edge irregularity strength line graph line cut vertex graph comb graph', 'generalized vertex energy graph', 'domination double vertex graphs']",publication
9,140,9_education_course_student_outcome,"['education', 'course', 'student', 'outcome', 'teaching', 'online', 'transformations', 'courses', 'curriculum', 'obe']","['enhancement programme outcomes cryptography network security course alternate assessment tool approach outcome base education', 'effectiveness project base learning outcome based education- case study', 'enhancement program outcomes cryptography network security course alternate assessment tool approach outcome base education']",publication
10,140,10_blockchain_record_records_ethereum,"['blockchain', 'record', 'records', 'ethereum', 'technology', 'supply', 'chain', 'contract', 'privacy', 'decentralized']","['healthcare management system blockchain', 'blockchain technology applications', 'blockchain']",publication
11,137,11_nanoparticle_chitosan_gold_antioxidant,"['nanoparticle', 'chitosan', 'gold', 'antioxidant', 'nanoparticles', 'delivery', 'silver', 'nanozyme', 'activity', 'antibacterial']","['natural tripeptide cap ph sensitive gold nanoparticle efficacious doxorubicin delivery vitro vivo', 'synthesis characterization high molecular weight chitosan antioxidant activity chitosan oligosaccharide encapsulation', 'mesoporous silica nanoparticle cap chitosan glucuronic acid conjugate ph responsive target delivery fluorouracil']",publication
12,135,12_galaxy_galactic_star_ngc,"['galaxy', 'galactic', 'star', 'ngc', 'disk', 'uvit', 'radio', 'astrosat', 'glostar', 'disc']","['global view star formation glostar galactic plane survey iv radio continuum detection young stellar object galactic centre region', 'global view star formation glostar galactic plane survey', 'global view star formation glostar galactic plane survey']",publication
13,134,13_speech_speaker_articulatory_voice,"['speech', 'speaker', 'articulatory', 'voice', 'end', 'acoustic', 'recognition', 'diarization', 'audio', 'whispered']","['signal speech', 'speech recognition system deep neural network', 'performance analysis speech speaker recognition system different optimization strategy']",publication
14,129,14_equation_problem_galerkin_problems,"['equation', 'problem', 'galerkin', 'problems', 'homogenization', 'differential', 'parabolic', 'equations', 'elliptic', 'discontinuous']","['new approach solve elliptic obstacle problem discontinuous galerkin method', 'finite element analysis constrained dirichlet boundary control problem govern linear parabolic equation', 'high order approximation fractional order integro parabolic partial differential equation adaptive mesh error analysis']",publication
15,129,15_graphene_bilayer_twisted_heterostructure,"['graphene', 'bilayer', 'twisted', 'heterostructure', 'magic', 'hbn', 'mos2', 'heterostructures', 'angle', 'noise']","['phonon linewidth twisted bilayer graphene near magic angle', 'low frequency resistance noise near magic angle twisted bilayer graphene', 'anomaly raman mode twisted bilayer graphene near magic angle']",publication
16,128,16_thermoelectric_cu_te_bi2te3,"['thermoelectric', 'cu', 'te', 'bi2te3', 'tetrahedrite', 'ultralow', 'thermal', 'conductivity', 'sb', 'materials']","['investigation thermoelectric property lafe0.1co0.9o3 compound', 'mechanical thermoelectric properties eutectic composite bi sb)2te3 te thermoelectric material', 'recent advance design thermoelectric material']",publication
17,126,17_nanofluid_stretching_flow_heat,"['nanofluid', 'stretching', 'flow', 'heat', 'convective', 'mhd', 'nanofluids', 'transfer', 'porous', 'gyrotactic']","['unsteady thin film flow heat transfer fe nanofluid inclined stretching sheet porous medium', 'nanofluid boundary layer flow stretching body presence porous medium', 'shape effect nanoparticle mhd nanofluid flow stretching sheet presence heat source sink entropy generation']",publication
18,126,18_droplet_sessile_evaporation_drop,"['droplet', 'sessile', 'evaporation', 'drop', 'breakup', 'superhydrophobic', 'droplets', 'coalescence', 'evaporate', 'atomization']","['laser pulse droplet interaction enable deformation fragmentation droplet array', 'universal evaporation dynamic order array sessile droplet', 'insight bubble droplet interaction high viscoelastic evaporate polymer droplet']",publication
19,119,19_photocatalytic_degradation_dye_zno,"['photocatalytic', 'degradation', 'dye', 'zno', 'nanoparticle', 'green', 'methylene', 'activity', 'synthesis', 'sunlight']","['photocatalytic degradation methylene blue dye biogenic copper oxide nanoparticle degradation pathway analysis', 'effect synthesis method photocatalytic activity zno nanoparticle', 'nickel dope zinc oxide improved photocatalytic activity malachite green dye degradation parameter affect degradation']",publication
20,118,20_covid19_pandemic_lockdown_epidemic,"['covid19', 'pandemic', 'lockdown', 'epidemic', 'covid', 'immunity', 'india', 'coronavirus', '2651', 'asymptomatic']","['modeling control lockdown exit strategies covid-19 pandemic india', 'model covid-19 pandemic asymptomatic patient lockdown herd immunity', 'decision support system scheduling lockdown covid-19 pandemic']",publication
21,117,21_traffic_accident_road_emergency,"['traffic', 'accident', 'road', 'emergency', 'driver', 'vehicle', 'crash', 'notification', 'safety', 'pedestrian']","['traffic light control system emergency vehicle', 'traffic system monitoring', 'road traffic accident prediction india machine learn algorithm technique']",publication
22,117,22_gan_algan_hemt_buffer,"['gan', 'algan', 'hemt', 'buffer', 'breakdown', 'gate', 'schottky', 'electron', 'diode', 'aln']","['algan gan hemt silicon grade algan barrier rf applications', 'physical insights electron trap mechanism carbon dope gan buffer algan gan hemt impact dynamic resistance', 'engineering transition layer algan gan hemt si high voltage application']",publication
23,117,23_adder_multiplier_multipli_float,"['adder', 'multiplier', 'multipli', 'float', 'adders', 'approximate', 'karatsuba', 'point', 'multipliers', 'floating']","['implementation 32 bit complex float point multiplier vedic multiplier array multiplier combined integer float point multipli cifm', 'implementation floating point unit base booth multiplier compressor adder', 'design implementation array multiplier bit accurate approximate adder']",publication
24,114,24_05_ferroelectric_ceramic_piezoelectric,"['05', 'ferroelectric', 'ceramic', 'piezoelectric', 'morphotropic', 'piezoceramic', 'na05bi05tio3', 'lead', 'na', 'bi']","['nature morphotropic phase boundary lead free piezoelectric system bi nb ti mg zn', 'random lattice strain relaxation morphotropic phase boundary 0.5 0.5 ti -base piezoelectric impact structural ferroelectric property', 'structural insight electric field induce polarization strain response 0.5 na 0.5 nb modify morphotropic phase boundary composition na 0.5 bi 0.5 ti -base lead free piezoelectric']",publication
25,112,25_cancer_breast_lung_diagnosis,"['cancer', 'breast', 'lung', 'diagnosis', 'carcinoma', 'leukemia', 'segmentation', 'histopathological', 'blood', 'oral']","['predictive classification breast cancer machine learning', 'comparative analysis breast cancer prediction machine learning techniques', 'framework breast cancer prediction classification deep learning']",publication
26,112,26_verification_risc_verilog_processor,"['verification', 'risc', 'verilog', 'processor', 'uvm', 'soc', 'fpga', 'bit', 'hardware', 'axi']","['system verification analysis alu risc processor', 'system verification analysis alu risc processor', 'design verification 32 bit pipelined risc architecture verilog modelling uvm test bench methodology']",publication
27,111,27_supercapacitor_electrode_asymmetric_supercapacitors,"['supercapacitor', 'electrode', 'asymmetric', 'supercapacitors', 'electrochemical', 'fe', 'foam', 'mn', 'electrodes', 'micro']","['material supercapacitor', 'hybrid supercapacitor', 'supercapacitor']",publication
28,109,28_software_bug_testing_static,"['software', 'bug', 'testing', 'static', 'code', 'race', 'programs', 'automation', 'program', 'jenkins']","['software bug prediction supervised machine learning algorithm', 'effect programming language software bug prediction', 'automation testing jenkins software development']",publication
29,104,29_machining_roughness_cutting_taguchi,"['machining', 'roughness', 'cutting', 'taguchi', 'surface', 'cut', 'milling', 'tool', 'insert', 'hard']","['analyze effect machining parameter surface roughness machine surface vision system', 'investigation effect machining parameter machining force roughness micro milling titanium gr5 gr12 alloy dry machining condition carbide tool', 'influence machining parameter surface roughness tool life machining en24 grade alloy steel']",publication
